risk_reward,final_pnl,win_rate,total_trades
1.5,147.81472065999515,53.68956743002544,786
2.0,151.37757516000238,47.45547073791349,786
2.5,217.9044666799782,43.31210191082803,785
3.0,205.67954145998374,38.205128205128204,780
