timestamp,open,high,low,close,volume,time
1767039300000,87530.0,87595.0,87317.0,87321.0,697.48163,2025-12-29 20:15:00
1767040200000,87321.0,87389.0,87201.0,87216.0,269.85109,2025-12-29 20:30:00
1767041100000,87216.0,87297.0,87069.0,87215.0,1170.29134,2025-12-29 20:45:00
1767042000000,87233.0,87370.0,87198.0,87351.0,239.68101,2025-12-29 21:00:00
1767042900000,87350.0,87369.0,87223.0,87294.0,160.13645,2025-12-29 21:15:00
1767043800000,87293.0,87378.0,87258.0,87364.0,77.69513,2025-12-29 21:30:00
1767044700000,87364.0,87365.0,87314.0,87337.0,132.66745,2025-12-29 21:45:00
1767045600000,87337.0,87337.0,87069.0,87118.0,433.5605,2025-12-29 22:00:00
1767046500000,87121.0,87259.0,87121.0,87220.0,45.20513,2025-12-29 22:15:00
1767047400000,87219.0,87390.0,87199.0,87375.0,38.36969,2025-12-29 22:30:00
1767048300000,87375.0,87396.0,87338.0,87343.0,31.07342,2025-12-29 22:45:00
1767049200000,87342.0,87400.0,87271.0,87372.0,39.93917,2025-12-29 23:00:00
1767050100000,87372.0,87372.0,87181.0,87198.0,108.55676,2025-12-29 23:15:00
1767051000000,87199.0,87245.0,87173.0,87202.0,74.40213,2025-12-29 23:30:00
1767051900000,87202.0,87247.0,87194.0,87228.0,66.05076,2025-12-29 23:45:00
1767052800000,87227.0,87333.0,87200.0,87288.0,124.97796,2025-12-30 00:00:00
1767053700000,87288.0,87351.0,87282.0,87293.0,59.51207,2025-12-30 00:15:00
1767054600000,87292.0,87293.0,87081.0,87120.0,494.23685,2025-12-30 00:30:00
1767055500000,87121.0,87254.0,87121.0,87250.0,82.90505,2025-12-30 00:45:00
1767056400000,87246.0,87283.0,87124.0,87216.0,265.2278,2025-12-30 01:00:00
1767057300000,87216.0,87286.0,87164.0,87178.0,115.21018,2025-12-30 01:15:00
1767058200000,87178.0,87262.0,87101.0,87257.0,75.66286,2025-12-30 01:30:00
1767059100000,87257.0,87346.0,87255.0,87298.0,68.98597,2025-12-30 01:45:00
1767060000000,87298.0,87309.0,87074.0,87186.0,186.94402,2025-12-30 02:00:00
1767060900000,87188.0,87336.0,87187.0,87228.0,77.75099,2025-12-30 02:15:00
1767061800000,87229.0,87249.0,86966.0,87124.0,298.40236,2025-12-30 02:30:00
1767062700000,87125.0,87125.0,86955.0,87094.0,77.76785,2025-12-30 02:45:00
1767063600000,87093.0,87095.0,86900.0,86904.0,164.96292,2025-12-30 03:00:00
1767064500000,86904.0,87325.0,86824.0,87262.0,875.94673,2025-12-30 03:15:00
1767065400000,87261.0,87314.0,87192.0,87253.0,135.07718,2025-12-30 03:30:00
1767066300000,87253.0,87418.0,87253.0,87356.0,105.1989,2025-12-30 03:45:00
1767067200000,87356.0,87415.0,87264.0,87306.0,211.81707,2025-12-30 04:00:00
1767068100000,87307.0,87480.0,87286.0,87440.0,146.07208,2025-12-30 04:15:00
1767069000000,87439.0,87446.0,87384.0,87430.0,50.59992,2025-12-30 04:30:00
1767069900000,87430.0,87437.0,87286.0,87287.0,135.37619,2025-12-30 04:45:00
1767070800000,87287.0,87331.0,87279.0,87331.0,65.12138,2025-12-30 05:00:00
1767071700000,87332.0,87335.0,87215.0,87254.0,57.68127,2025-12-30 05:15:00
1767072600000,87254.0,87254.0,87125.0,87237.0,374.16973,2025-12-30 05:30:00
1767073500000,87236.0,87240.0,87188.0,87240.0,15.12771,2025-12-30 05:45:00
1767074400000,87240.0,87328.0,87233.0,87328.0,52.56185,2025-12-30 06:00:00
1767075300000,87327.0,87416.0,87327.0,87389.0,104.30085,2025-12-30 06:15:00
1767076200000,87389.0,87527.0,87377.0,87483.0,102.17874,2025-12-30 06:30:00
1767077100000,87483.0,87515.0,87412.0,87433.0,126.86168,2025-12-30 06:45:00
1767078000000,87433.0,87529.0,87402.0,87518.0,53.14496,2025-12-30 07:00:00
1767078900000,87517.0,87593.0,87370.0,87409.0,52.98644,2025-12-30 07:15:00
1767079800000,87408.0,87520.0,87395.0,87480.0,16.21793,2025-12-30 07:30:00
1767080700000,87480.0,87496.0,87456.0,87482.0,9.16433,2025-12-30 07:45:00
1767081600000,87482.0,88021.0,87482.0,87874.0,285.50913,2025-12-30 08:00:00
1767082500000,87874.0,88200.0,87752.0,87822.0,317.26279,2025-12-30 08:15:00
1767083400000,87823.0,87969.0,87769.0,87897.0,180.87788,2025-12-30 08:30:00
1767084300000,87897.0,87968.0,87822.0,87849.0,208.95456,2025-12-30 08:45:00
1767085200000,87850.0,87918.0,87783.0,87795.0,65.40111,2025-12-30 09:00:00
1767086100000,87795.0,87795.0,87640.0,87671.0,73.8662,2025-12-30 09:15:00
1767087000000,87672.0,87855.0,87671.0,87828.0,79.54883,2025-12-30 09:30:00
1767087900000,87832.0,88020.0,87810.0,87982.0,124.99412,2025-12-30 09:45:00
1767088800000,87981.0,88100.0,87947.0,88010.0,115.86351,2025-12-30 10:00:00
1767089700000,88009.0,88070.0,87938.0,87995.0,72.0944,2025-12-30 10:15:00
1767090600000,87994.0,88144.0,87905.0,88133.0,79.43078,2025-12-30 10:30:00
1767091500000,88133.0,88174.0,87915.0,87940.0,219.22457,2025-12-30 10:45:00
1767092400000,87940.0,88017.0,87888.0,88000.0,144.77687,2025-12-30 11:00:00
1767093300000,88000.0,88016.0,87888.0,87911.0,78.39115,2025-12-30 11:15:00
1767094200000,87912.0,87997.0,87854.0,87858.0,249.36883,2025-12-30 11:30:00
1767095100000,87859.0,87920.0,87742.0,87874.0,206.47807,2025-12-30 11:45:00
1767096000000,87875.0,88058.0,87874.0,88025.0,126.09454,2025-12-30 12:00:00
1767096900000,88026.0,88069.0,87977.0,87984.0,60.63753,2025-12-30 12:15:00
1767097800000,87985.0,88040.0,87922.0,87984.0,30.26874,2025-12-30 12:30:00
1767098700000,87984.0,88000.0,87929.0,87999.0,19.08173,2025-12-30 12:45:00
1767099600000,88000.0,88028.0,87910.0,87932.0,66.37349,2025-12-30 13:00:00
1767100500000,87931.0,88112.0,87888.0,88068.0,74.62199,2025-12-30 13:15:00
1767101400000,88069.0,88120.0,87908.0,88049.0,72.63476,2025-12-30 13:30:00
1767102300000,88050.0,88127.0,88005.0,88096.0,27.90105,2025-12-30 13:45:00
1767103200000,88096.0,88096.0,87818.0,88009.0,153.6282,2025-12-30 14:00:00
1767104100000,88008.0,88388.0,88008.0,88103.0,356.34864,2025-12-30 14:15:00
1767105000000,88105.0,88247.0,87852.0,88077.0,280.18826,2025-12-30 14:30:00
1767105900000,88078.0,88988.0,88016.0,88845.0,2154.5721,2025-12-30 14:45:00
1767106800000,88846.0,89053.0,88201.0,88329.0,713.97145,2025-12-30 15:00:00
1767107700000,88329.0,88530.0,88192.0,88443.0,418.73849,2025-12-30 15:15:00
1767108600000,88443.0,88764.0,88412.0,88753.0,139.16945,2025-12-30 15:30:00
1767109500000,88751.0,89141.0,88657.0,88973.0,602.77792,2025-12-30 15:45:00
1767110400000,88973.0,89100.0,88751.0,88920.0,465.59388,2025-12-30 16:00:00
1767111300000,88920.0,89376.0,88914.0,89159.0,810.56499,2025-12-30 16:15:00
1767112200000,89159.0,89221.0,88615.0,88677.0,246.73935,2025-12-30 16:30:00
1767113100000,88677.0,88759.0,88543.0,88721.0,290.90973,2025-12-30 16:45:00
1767114000000,88721.0,88857.0,88690.0,88733.0,160.5207,2025-12-30 17:00:00
1767114900000,88733.0,88767.0,88442.0,88586.0,380.23773,2025-12-30 17:15:00
1767115800000,88585.0,88647.0,88463.0,88491.0,195.36859,2025-12-30 17:30:00
1767116700000,88491.0,88492.0,88080.0,88338.0,512.05628,2025-12-30 17:45:00
1767117600000,88338.0,88374.0,88252.0,88263.0,186.17288,2025-12-30 18:00:00
1767118500000,88263.0,88401.0,88263.0,88344.0,98.69475,2025-12-30 18:15:00
1767119400000,88344.0,88470.0,88292.0,88338.0,81.61338,2025-12-30 18:30:00
1767120300000,88338.0,88338.0,88083.0,88273.0,248.21736,2025-12-30 18:45:00
1767121200000,88272.0,88272.0,87924.0,88030.0,353.22237,2025-12-30 19:00:00
1767122100000,88031.0,88347.0,88005.0,88317.0,414.8994,2025-12-30 19:15:00
1767123000000,88316.0,88397.0,88238.0,88261.0,59.04722,2025-12-30 19:30:00
1767123900000,88261.0,88303.0,88109.0,88184.0,92.76528,2025-12-30 19:45:00
1767124800000,88185.0,88185.0,88060.0,88110.0,87.15318,2025-12-30 20:00:00
1767125700000,88110.0,88175.0,88000.0,88035.0,38.04332,2025-12-30 20:15:00
1767126600000,88036.0,88139.0,88015.0,88026.0,261.41538,2025-12-30 20:30:00
1767127500000,88025.0,88025.0,87842.0,87894.0,496.51628,2025-12-30 20:45:00
1767128400000,87895.0,88068.0,87864.0,88046.0,431.62278,2025-12-30 21:00:00
1767129300000,88046.0,88179.0,88046.0,88141.0,130.97719,2025-12-30 21:15:00
1767130200000,88140.0,88269.0,88140.0,88260.0,195.96381,2025-12-30 21:30:00
1767131100000,88260.0,88317.0,88195.0,88251.0,53.92816,2025-12-30 21:45:00
1767132000000,88251.0,88456.0,88251.0,88455.0,262.69043,2025-12-30 22:00:00
1767132900000,88456.0,88456.0,88356.0,88416.0,50.87184,2025-12-30 22:15:00
1767133800000,88417.0,88441.0,88267.0,88300.0,162.23224,2025-12-30 22:30:00
1767134700000,88299.0,88412.0,88273.0,88412.0,31.21071,2025-12-30 22:45:00
1767135600000,88412.0,88479.0,88339.0,88442.0,126.22865,2025-12-30 23:00:00
1767136500000,88441.0,88549.0,88397.0,88544.0,157.0444,2025-12-30 23:15:00
1767137400000,88544.0,88549.0,88493.0,88526.0,51.86961,2025-12-30 23:30:00
1767138300000,88526.0,88526.0,88455.0,88466.0,176.09406,2025-12-30 23:45:00
1767139200000,88467.0,88467.0,88320.0,88354.0,95.84063,2025-12-31 00:00:00
1767140100000,88354.0,88437.0,88272.0,88366.0,256.18201,2025-12-31 00:15:00
1767141000000,88365.0,88367.0,88230.0,88305.0,57.25231,2025-12-31 00:30:00
1767141900000,88305.0,88305.0,88224.0,88239.0,77.77866,2025-12-31 00:45:00
1767142800000,88239.0,88298.0,88155.0,88284.0,76.26004,2025-12-31 01:00:00
1767143700000,88284.0,88681.0,88283.0,88567.0,193.38327,2025-12-31 01:15:00
1767144600000,88568.0,88745.0,88563.0,88704.0,181.35682,2025-12-31 01:30:00
1767145500000,88705.0,88768.0,88574.0,88629.0,103.84202,2025-12-31 01:45:00
1767146400000,88628.0,88650.0,88502.0,88649.0,22.72581,2025-12-31 02:00:00
1767147300000,88650.0,88700.0,88607.0,88643.0,62.44664,2025-12-31 02:15:00
1767148200000,88642.0,88727.0,88512.0,88570.0,136.03458,2025-12-31 02:30:00
1767149100000,88570.0,88681.0,88500.0,88644.0,74.69829,2025-12-31 02:45:00
1767150000000,88645.0,88793.0,88642.0,88733.0,125.69578,2025-12-31 03:00:00
1767150900000,88732.0,88732.0,88500.0,88515.0,110.17841,2025-12-31 03:15:00
1767151800000,88515.0,88523.0,88344.0,88431.0,205.94375,2025-12-31 03:30:00
1767152700000,88431.0,88455.0,88396.0,88422.0,20.57511,2025-12-31 03:45:00
1767153600000,88422.0,88466.0,88378.0,88442.0,81.74404,2025-12-31 04:00:00
1767154500000,88442.0,88519.0,88356.0,88411.0,143.19681,2025-12-31 04:15:00
1767155400000,88411.0,88430.0,88357.0,88358.0,65.14086,2025-12-31 04:30:00
1767156300000,88358.0,88400.0,88306.0,88307.0,70.04776,2025-12-31 04:45:00
1767157200000,88308.0,88442.0,88308.0,88393.0,87.85148,2025-12-31 05:00:00
1767158100000,88394.0,88441.0,88328.0,88426.0,64.70136,2025-12-31 05:15:00
1767159000000,88430.0,88501.0,88414.0,88501.0,31.37813,2025-12-31 05:30:00
1767159900000,88501.0,88501.0,88420.0,88431.0,50.20665,2025-12-31 05:45:00
1767160800000,88431.0,88504.0,88431.0,88500.0,38.86631,2025-12-31 06:00:00
1767161700000,88499.0,88530.0,88445.0,88504.0,33.17025,2025-12-31 06:15:00
1767162600000,88504.0,88535.0,88466.0,88483.0,42.34877,2025-12-31 06:30:00
1767163500000,88483.0,88509.0,88465.0,88486.0,10.80514,2025-12-31 06:45:00
1767164400000,88487.0,88487.0,88411.0,88463.0,34.74608,2025-12-31 07:00:00
1767165300000,88463.0,88552.0,88400.0,88512.0,45.44727,2025-12-31 07:15:00
1767166200000,88512.0,88613.0,88503.0,88590.0,102.69415,2025-12-31 07:30:00
1767167100000,88591.0,88611.0,88553.0,88578.0,54.8806,2025-12-31 07:45:00
1767168000000,88579.0,88712.0,88578.0,88662.0,128.8818,2025-12-31 08:00:00
1767168900000,88663.0,88663.0,88607.0,88627.0,23.77603,2025-12-31 08:15:00
1767169800000,88627.0,88628.0,88364.0,88388.0,97.78073,2025-12-31 08:30:00
1767170700000,88387.0,88420.0,88358.0,88404.0,32.22224,2025-12-31 08:45:00
1767171600000,88404.0,88547.0,88402.0,88521.0,73.79449,2025-12-31 09:00:00
1767172500000,88522.0,88575.0,88521.0,88569.0,12.81611,2025-12-31 09:15:00
1767173400000,88569.0,88643.0,88552.0,88621.0,25.42234,2025-12-31 09:30:00
1767174300000,88622.0,88680.0,88616.0,88640.0,81.43406,2025-12-31 09:45:00
1767175200000,88641.0,88794.0,88640.0,88775.0,76.95594,2025-12-31 10:00:00
1767176100000,88775.0,88850.0,88665.0,88732.0,156.19391,2025-12-31 10:15:00
1767177000000,88732.0,88740.0,88630.0,88718.0,89.8386,2025-12-31 10:30:00
1767177900000,88719.0,88810.0,88689.0,88809.0,82.31301,2025-12-31 10:45:00
1767178800000,88810.0,88909.0,88784.0,88843.0,177.59092,2025-12-31 11:00:00
1767179700000,88843.0,88900.0,88777.0,88900.0,36.10187,2025-12-31 11:15:00
1767180600000,88900.0,88988.0,88878.0,88987.0,71.50809,2025-12-31 11:30:00
1767181500000,88988.0,89000.0,88918.0,88985.0,38.04595,2025-12-31 11:45:00
1767182400000,88982.0,89009.0,88878.0,88922.0,57.85903,2025-12-31 12:00:00
1767183300000,88923.0,88966.0,88875.0,88908.0,48.49493,2025-12-31 12:15:00
1767184200000,88908.0,88951.0,88789.0,88800.0,85.88062,2025-12-31 12:30:00
1767185100000,88801.0,88837.0,88712.0,88746.0,148.74436,2025-12-31 12:45:00
1767186000000,88745.0,88806.0,88714.0,88785.0,67.40158,2025-12-31 13:00:00
1767186900000,88786.0,88862.0,88778.0,88819.0,35.45709,2025-12-31 13:15:00
1767187800000,88819.0,88819.0,88708.0,88762.0,100.49981,2025-12-31 13:30:00
1767188700000,88762.0,89025.0,88749.0,88957.0,185.52039,2025-12-31 13:45:00
1767189600000,88957.0,89178.0,88906.0,89112.0,299.47398,2025-12-31 14:00:00
1767190500000,89112.0,89112.0,88907.0,88912.0,124.882,2025-12-31 14:15:00
1767191400000,88911.0,88911.0,88537.0,88624.0,428.81367,2025-12-31 14:30:00
1767192300000,88623.0,88624.0,88250.0,88445.0,616.14409,2025-12-31 14:45:00
1767193200000,88444.0,88455.0,87898.0,88180.0,1525.45745,2025-12-31 15:00:00
1767194100000,88180.0,88195.0,87888.0,87960.0,897.89873,2025-12-31 15:15:00
1767195000000,87959.0,88100.0,87747.0,88032.0,585.54148,2025-12-31 15:30:00
1767195900000,88031.0,88135.0,87914.0,87927.0,209.50038,2025-12-31 15:45:00
1767196800000,87926.0,87979.0,87780.0,87906.0,222.98934,2025-12-31 16:00:00
1767197700000,87906.0,88030.0,87675.0,87898.0,478.82648,2025-12-31 16:15:00
1767198600000,87899.0,87918.0,87366.0,87429.0,1137.81873,2025-12-31 16:30:00
1767199500000,87430.0,87683.0,87396.0,87630.0,422.52018,2025-12-31 16:45:00
1767200400000,87631.0,87659.0,87480.0,87513.0,234.57145,2025-12-31 17:00:00
1767201300000,87513.0,87736.0,87456.0,87597.0,418.95933,2025-12-31 17:15:00
1767202200000,87597.0,87679.0,87528.0,87607.0,142.75969,2025-12-31 17:30:00
1767203100000,87607.0,87659.0,87543.0,87599.0,71.56323,2025-12-31 17:45:00
1767204000000,87599.0,87943.0,87554.0,87888.0,340.70265,2025-12-31 18:00:00
1767204900000,87889.0,87978.0,87802.0,87931.0,308.37148,2025-12-31 18:15:00
1767205800000,87931.0,87931.0,87807.0,87852.0,107.95984,2025-12-31 18:30:00
1767206700000,87852.0,87862.0,87672.0,87673.0,128.04866,2025-12-31 18:45:00
1767207600000,87674.0,87858.0,87674.0,87774.0,174.17314,2025-12-31 19:00:00
1767208500000,87774.0,87817.0,87662.0,87730.0,51.25727,2025-12-31 19:15:00
1767209400000,87727.0,87728.0,87619.0,87631.0,83.18979,2025-12-31 19:30:00
1767210300000,87631.0,87696.0,87520.0,87534.0,257.75145,2025-12-31 19:45:00
1767211200000,87533.0,87537.0,87402.0,87527.0,361.95756,2025-12-31 20:00:00
1767212100000,87527.0,87565.0,87434.0,87479.0,242.67302,2025-12-31 20:15:00
1767213000000,87480.0,87530.0,87229.0,87422.0,336.11815,2025-12-31 20:30:00
1767213900000,87423.0,87710.0,87359.0,87660.0,555.94481,2025-12-31 20:45:00
1767214800000,87660.0,87787.0,87657.0,87750.0,172.43597,2025-12-31 21:00:00
1767215700000,87750.0,87787.0,87719.0,87767.0,93.2728,2025-12-31 21:15:00
1767216600000,87767.0,87875.0,87766.0,87823.0,48.97197,2025-12-31 21:30:00
1767217500000,87824.0,87824.0,87766.0,87794.0,33.53513,2025-12-31 21:45:00
1767218400000,87793.0,87824.0,87761.0,87824.0,73.18116,2025-12-31 22:00:00
1767219300000,87824.0,87886.0,87812.0,87865.0,44.71404,2025-12-31 22:15:00
1767220200000,87865.0,87865.0,87679.0,87725.0,119.92886,2025-12-31 22:30:00
1767221100000,87725.0,87771.0,87646.0,87727.0,139.56942,2025-12-31 22:45:00
1767222000000,87726.0,87726.0,87656.0,87682.0,106.79485,2025-12-31 23:00:00
1767222900000,87682.0,87682.0,87615.0,87658.0,130.46558,2025-12-31 23:15:00
1767223800000,87658.0,87688.0,87628.0,87679.0,89.48099,2025-12-31 23:30:00
1767224700000,87680.0,87682.0,87628.0,87632.0,34.24162,2025-12-31 23:45:00
1767225600000,87631.0,87799.0,87628.0,87725.0,86.65611,2026-01-01 00:00:00
1767226500000,87724.0,87768.0,87724.0,87766.0,46.15124,2026-01-01 00:15:00
1767227400000,87766.0,87772.0,87719.0,87737.0,80.82988,2026-01-01 00:30:00
1767228300000,87738.0,87837.0,87737.0,87807.0,151.43563,2026-01-01 00:45:00
1767229200000,87807.0,88015.0,87805.0,87997.0,80.96271,2026-01-01 01:00:00
1767230100000,87998.0,88043.0,87858.0,87865.0,43.02549,2026-01-01 01:15:00
1767231000000,87864.0,87890.0,87831.0,87881.0,22.39287,2026-01-01 01:30:00
1767231900000,87881.0,88008.0,87872.0,87955.0,107.20488,2026-01-01 01:45:00
1767232800000,87956.0,88022.0,87900.0,87983.0,83.99705,2026-01-01 02:00:00
1767233700000,87983.0,88096.0,87944.0,87950.0,106.73224,2026-01-01 02:15:00
1767234600000,87950.0,88055.0,87937.0,87949.0,140.1136,2026-01-01 02:30:00
1767235500000,87949.0,87954.0,87885.0,87902.0,23.94557,2026-01-01 02:45:00
1767236400000,87903.0,87979.0,87878.0,87979.0,64.84476,2026-01-01 03:00:00
1767237300000,87979.0,88011.0,87892.0,87925.0,30.16075,2026-01-01 03:15:00
1767238200000,87926.0,87946.0,87900.0,87934.0,39.68733,2026-01-01 03:30:00
1767239100000,87935.0,87935.0,87831.0,87839.0,41.00528,2026-01-01 03:45:00
1767240000000,87839.0,87854.0,87637.0,87646.0,189.2966,2026-01-01 04:00:00
1767240900000,87646.0,87700.0,87550.0,87628.0,267.38774,2026-01-01 04:15:00
1767241800000,87628.0,87665.0,87550.0,87550.0,36.62739,2026-01-01 04:30:00
1767242700000,87551.0,87650.0,87551.0,87597.0,36.35804,2026-01-01 04:45:00
1767243600000,87597.0,87728.0,87596.0,87710.0,50.70878,2026-01-01 05:00:00
1767244500000,87711.0,87736.0,87673.0,87718.0,62.3834,2026-01-01 05:15:00
1767245400000,87718.0,87741.0,87645.0,87706.0,26.26767,2026-01-01 05:30:00
1767246300000,87706.0,87735.0,87705.0,87718.0,6.94697,2026-01-01 05:45:00
1767247200000,87718.0,87718.0,87646.0,87648.0,20.40794,2026-01-01 06:00:00
1767248100000,87648.0,87669.0,87647.0,87669.0,19.57028,2026-01-01 06:15:00
1767249000000,87669.0,87688.0,87668.0,87669.0,11.36019,2026-01-01 06:30:00
1767249900000,87670.0,87671.0,87664.0,87664.0,7.69637,2026-01-01 06:45:00
